Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
Perceptron,0.8392857142857143,0.801659125188537,0.801659125188537,0.8378678283741575,0.004998683929443359
XGBClassifier,0.75,0.6711915535444948,0.6711915535444948,0.739430894308943,0.05757451057434082
AdaBoostClassifier,0.7857142857142857,0.6636500754147813,0.6636500754147813,0.7532467532467532,0.04739546775817871
BernoulliNB,0.75,0.6546003016591252,0.6546003016591252,0.7321428571428571,0.004998922348022461
LGBMClassifier,0.7678571428571429,0.6508295625942685,0.6508295625942685,0.73807881773399,0.04008221626281738
NearestCentroid,0.6964285714285714,0.6493212669683258,0.6493212669683257,0.6987940630797773,0.13233518600463867
NuSVC,0.7678571428571429,0.6342383107088989,0.6342383107088989,0.7266906273989812,0.008000373840332031
LogisticRegression,0.7678571428571429,0.6342383107088989,0.6342383107088989,0.7266906273989812,0.006039619445800781
CalibratedClassifierCV,0.7678571428571429,0.6342383107088989,0.6342383107088989,0.7266906273989812,0.0157010555267334
SVC,0.7678571428571429,0.6342383107088989,0.6342383107088989,0.7266906273989812,0.006937742233276367
RidgeClassifierCV,0.7678571428571429,0.6342383107088989,0.6342383107088989,0.7266906273989812,0.00510859489440918
RidgeClassifier,0.7678571428571429,0.6342383107088989,0.6342383107088989,0.7266906273989812,0.006994962692260742
LinearSVC,0.7678571428571429,0.6342383107088989,0.6342383107088989,0.7266906273989812,0.007999658584594727
GaussianNB,0.6964285714285714,0.6327300150829562,0.6327300150829562,0.6937503424845197,0.0052149295806884766
SGDClassifier,0.7321428571428571,0.6251885369532428,0.625188536953243,0.7084500466853408,0.004961490631103516
LabelSpreading,0.75,0.6214177978883861,0.6214177978883861,0.712121212121212,0.006898164749145508
RandomForestClassifier,0.75,0.6214177978883861,0.6214177978883861,0.712121212121212,0.08152055740356445
LabelPropagation,0.75,0.6214177978883861,0.6214177978883861,0.712121212121212,0.007717609405517578
KNeighborsClassifier,0.75,0.6214177978883861,0.6214177978883861,0.712121212121212,0.006999969482421875
ExtraTreesClassifier,0.7142857142857143,0.6123680241327301,0.6123680241327301,0.6938775510204083,0.06389069557189941
LinearDiscriminantAnalysis,0.7321428571428571,0.6085972850678734,0.6085972850678734,0.6977832512315272,0.0060002803802490234
QuadraticDiscriminantAnalysis,0.6785714285714286,0.5867269984917044,0.5867269984917044,0.6649825783972126,0.005002021789550781
BaggingClassifier,0.7142857142857143,0.579185520361991,0.579185520361991,0.670995670995671,0.016018152236938477
ExtraTreeClassifier,0.6607142857142857,0.5407239819004525,0.5407239819004526,0.6307033924680984,0.005002260208129883
DummyClassifier,0.6964285714285714,0.5,0.5,0.5718045112781954,0.004082202911376953
DecisionTreeClassifier,0.5535714285714286,0.49698340874811464,0.49698340874811464,0.5627413127413127,0.006000518798828125
PassiveAggressiveClassifier,0.5357142857142857,0.4675716440422323,0.4675716440422322,0.54250208855472,0.006005525588989258
