Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LinearSVC,0.9912280701754386,0.9878048780487805,0.9878048780487805,0.9912037589564742,0.007996559143066406
ExtraTreesClassifier,0.9912280701754386,0.9878048780487805,0.9878048780487805,0.9912037589564742,0.06920027732849121
RandomForestClassifier,0.9912280701754386,0.9878048780487805,0.9878048780487805,0.9912037589564742,0.21424388885498047
QuadraticDiscriminantAnalysis,0.9912280701754386,0.9878048780487805,0.9878048780487805,0.9912037589564742,0.008171796798706055
Perceptron,0.9912280701754386,0.9878048780487805,0.9878048780487805,0.9912037589564742,0.004999876022338867
LogisticRegression,0.9912280701754386,0.9878048780487805,0.9878048780487805,0.9912037589564742,0.017934083938598633
XGBClassifier,0.9824561403508771,0.9809555629802873,0.9809555629802873,0.9824561403508771,0.07036066055297852
LGBMClassifier,0.9824561403508771,0.9809555629802873,0.9809555629802873,0.9824561403508771,0.054999589920043945
PassiveAggressiveClassifier,0.9824561403508771,0.975609756097561,0.975609756097561,0.9823553816974869,0.0060002803802490234
SGDClassifier,0.9824561403508771,0.975609756097561,0.975609756097561,0.9823553816974869,0.005999565124511719
CalibratedClassifierCV,0.9824561403508771,0.975609756097561,0.975609756097561,0.9823553816974869,0.018960952758789062
BaggingClassifier,0.9824561403508771,0.975609756097561,0.975609756097561,0.9823553816974869,0.10776615142822266
KNeighborsClassifier,0.9736842105263158,0.9687604410290678,0.9687604410290678,0.9736112768694223,0.16712069511413574
SVC,0.9736842105263158,0.9687604410290678,0.9687604410290678,0.9736112768694223,0.0070002079010009766
AdaBoostClassifier,0.9736842105263158,0.9687604410290678,0.9687604410290678,0.9736112768694223,0.20404291152954102
LinearDiscriminantAnalysis,0.9736842105263158,0.9634146341463414,0.9634146341463414,0.9734494676926793,0.017003536224365234
RidgeClassifier,0.9736842105263158,0.9634146341463414,0.9634146341463414,0.9734494676926793,0.008998870849609375
RidgeClassifierCV,0.9736842105263158,0.9634146341463414,0.9634146341463414,0.9734494676926793,0.011000633239746094
DecisionTreeClassifier,0.9649122807017544,0.9619111259605746,0.9619111259605746,0.9649122807017544,0.014018774032592773
BernoulliNB,0.9649122807017544,0.9565653190778483,0.9565653190778483,0.9647107633949739,0.00853109359741211
NearestCentroid,0.956140350877193,0.9390243902439024,0.9390243902439024,0.9554424894264559,0.008005619049072266
NuSVC,0.9473684210526315,0.9321750751754092,0.9321750751754091,0.9467206477732794,0.010709762573242188
GaussianNB,0.9473684210526315,0.9321750751754092,0.9321750751754091,0.9467206477732794,0.005998373031616211
ExtraTreeClassifier,0.9298245614035088,0.9238222519211494,0.9238222519211493,0.9298245614035088,0.004980325698852539
LabelSpreading,0.7807017543859649,0.7004677581022385,0.7004677581022385,0.7528798427721093,0.01799774169921875
LabelPropagation,0.7807017543859649,0.7004677581022385,0.7004677581022385,0.7528798427721093,0.012001276016235352
DummyClassifier,0.6403508771929824,0.5,0.5,0.4999530912843606,0.005000114440917969
